name,assignment,length,begin,end,species,species-score,type,type support,major lineage,major lineage support,minor lineage,minor lineage support,minor lineage,minor lineage support
MN448599,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,59,Related to but not part of 3,,,
MN448600,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448601,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,64,Related to but not part of 3,,,
MN448602,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,65,Related to but not part of 3,,,
MN448604,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,60,Related to but not part of 3,,,
MN448605,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,61,Related to but not part of 3,,,
MN448606,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,61,Related to but not part of 3,,,
MN448608,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,64,Related to but not part of 3,,,
MN448609,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448610,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,67,Related to but not part of 3,,,
MN448611,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,60,Related to but not part of 3,,,
MN448613,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,63,Related to but not part of 3,,,
MN448612,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,58,Related to but not part of 3,,,
MN448615,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448614,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,63,Related to but not part of 3,,,
MN448616,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448603,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,64,Related to but not part of 3,,,
MN448617,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,100,Related to but not part of 3,,,
MN448618,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448619,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448620,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448621,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,100,Related to but not part of 3,,,
MN448622,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,100,Related to but not part of 3,,,
MN448623,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448624,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448625,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448626,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448627,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448628,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448629,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448630,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,65,Related to but not part of 3,,,
MN448631,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448632,1I_F,10179,95,10273,dengue virus type 1,,I,100,F,100,,,,
MN448633,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,60,Related to but not part of 3,,,
MN448635,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,68,Related to but not part of 3,,,
MN448634,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,78,Related to but not part of 3,,,
MN448636,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,67,Related to but not part of 3,,,
MN448640,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448637,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448638,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448639,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448641,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448642,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448643,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,59,Related to but not part of 3,,,
MN448644,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448645,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,61,Related to but not part of 3,,,
MN448646,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448647,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,61,Related to but not part of 3,,,
MN448648,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,61,Related to but not part of 3,,,
MN448649,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,61,Related to but not part of 3,,,
MN448650,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448651,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,63,Related to but not part of 3,,,
MN448652,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,64,Related to but not part of 3,,,
MN448653,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,61,Related to but not part of 3,,,
MN448654,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448655,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,63,Related to but not part of 3,,,
MN448656,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448658,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,63,Related to but not part of 3,,,
MN448657,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,100,Related to but not part of 3,,,
MN448659,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448660,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448661,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448663,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448664,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448662,1I_F,10179,95,10273,dengue virus type 1,,I,100,F,100,,,,
MN448666,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448665,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448667,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448668,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,60,Related to but not part of 3,,,
MN448669,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,60,Related to but not part of 3,,,
MN448670,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,100,Related to but not part of 3,,,
MN448672,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448671,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,100,Related to but not part of 3,,,
MN448673,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,63,Related to but not part of 3,,,
MN448674,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,100,Related to but not part of 3,,,
MN448676,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,63,Related to but not part of 3,,,
MN448675,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448677,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448678,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448679,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448680,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448681,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448682,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,65,Related to but not part of 3,,,
MN448683,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,65,Related to but not part of 3,,,
MN448685,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448684,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,65,Related to but not part of 3,,,
MN448687,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,61,Related to but not part of 3,,,
MN448686,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,63,Related to but not part of 3,,,
MN448688,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,61,Related to but not part of 3,,,
MN448689,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,56,Related to but not part of 3,,,
MN448690,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,59,Related to but not part of 3,,,
MN448691,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,100,Related to but not part of 3,,,
MN448693,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448692,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448694,1I_H.1,10179,95,10273,dengue virus type 1,,I,100,H,100,1,100,,
MN448695,1I_K,10179,95,10273,dengue virus type 1,,I,100,K,62,Related to but not part of 3,,,
MN448696,1I_E,10179,95,10273,dengue virus type 1,,I,100,E,100,Could not assign,,,
KC692512,1V_E,10735,1,10735,dengue virus type 1,,V,100,E,100,,,,
KX951689,1IV_B,10689,23,10711,dengue virus type 1,,IV,100,B,100,Could not assign,,,
KX951690,1I_K,10689,23,10711,dengue virus type 1,,I,100,K,61,Related to but not part of 3,,,
KC692513,1V_A,10735,1,10735,dengue virus type 1,,V,100,A,100,,,,
LC128301,1IV_B.2,10693,21,10713,dengue virus type 1,,IV,100,B,100,2,100,,
KY057365,1I_K,10735,1,10735,dengue virus type 1,,I,100,K,100,Could not assign,,,
KY057366,1IV_B,10735,1,10735,dengue virus type 1,,IV,100,B,100,Could not assign,,,
KY057367,1I_K,10735,1,10735,dengue virus type 1,,I,100,K,100,Related to but not part of 1,,,
KY057368,1IV_B,10735,1,10735,dengue virus type 1,,IV,100,B,100,Could not assign,,,
KY057369,1I_K,10735,1,10735,dengue virus type 1,,I,100,K,99,Related to but not part of 2,,,
KY057370,1I_K,10735,1,10735,dengue virus type 1,,I,100,K,100,Related to but not part of 1,,,
KY057371,1IV_B,10735,1,10735,dengue virus type 1,,IV,100,B,100,Could not assign,,,
KY057372,1I_K,10735,1,10735,dengue virus type 1,,I,100,K,70,Could not assign,,,
KY057373,1I_K,10735,1,10735,dengue virus type 1,,I,100,K,72,Could not assign,,,
KJ755855,1I_H.1,10727,3,10729,dengue virus type 1,,I,100,H,100,1,100,,
KM403635,1III_A,10714,1,10735,dengue virus type 1,,III,100,A,100,,,,
KM403633,1III_A,10714,1,10735,dengue virus type 1,,III,100,A,100,,,,
KM403627,1III_A,10714,1,10735,dengue virus type 1,,III,100,A,100,,,,
KM403626,1III_A,10714,1,10735,dengue virus type 1,,III,100,A,100,,,,
KM403624,1III_A,10714,1,10735,dengue virus type 1,,III,100,A,100,,,,
KM403619,1III_A,10714,1,10735,dengue virus type 1,,III,100,A,100,,,,
KM403618,1III_A,10714,1,10735,dengue virus type 1,,III,100,A,100,,,,
KM403615,1III_A,10714,1,10735,dengue virus type 1,,III,100,A,100,,,,
KM403611,1III_A,10714,1,10735,dengue virus type 1,,III,100,A,100,,,,
KM403610,1III_A,10714,1,10735,dengue virus type 1,,III,100,A,100,,,,
KM403606,1III_A,10714,1,10735,dengue virus type 1,,III,100,A,100,,,,
KM403601,1III_A,10648,1,10669,dengue virus type 1,,III,100,A,100,,,,
KM403598,1III_A,10646,1,10667,dengue virus type 1,,III,100,A,100,,,,
KM403590,1III_A,10714,1,10735,dengue virus type 1,,III,100,A,100,,,,
KM403587,1III_A,10714,1,10735,dengue virus type 1,,III,100,A,100,,,,
KM403582,1III_A,10714,1,10735,dengue virus type 1,,III,100,A,100,,,,
KM403578,1III_A,10714,1,10735,dengue virus type 1,,III,100,A,100,,,,
KC692514,1V_E,10735,1,10735,dengue virus type 1,,V,100,E,100,,,,
KM403577,1III_A,10714,1,10735,dengue virus type 1,,III,100,A,100,,,,
KF973472,1V_B,10616,1,10616,dengue virus type 1,,V,100,B,100,,,,
KF973471,1V_C,10625,1,10620,dengue virus type 1,,V,100,C,100,,,,
KF973470,1V_C,10731,1,10731,dengue virus type 1,,V,100,C,100,,,,
KF973467,1V_B,10198,82,10279,dengue virus type 1,,V,100,B,100,,,,
KF973465,1V_C,10559,71,10629,dengue virus type 1,,V,100,C,100,,,,
KF973460,1V_B,10630,1,10630,dengue virus type 1,,V,100,B,100,,,,
KF973459,1V_C,10238,71,10308,dengue virus type 1,,V,100,C,100,,,,
KF973458,1V_B,10290,34,10323,dengue virus type 1,,V,100,B,100,,,,
MW208043,1V_A,10179,95,10273,dengue virus type 1,,V,100,A,100,,,,
JX669471,1V,10736,1,10735,dengue virus type 1,,V,100,Could not assign,,,,,
JX669463,1V_E,10735,1,10735,dengue virus type 1,,V,100,E,100,,,,
KJ806963,1I_K.2,10735,1,10735,dengue virus type 1,,I,100,K,100,2,100,,
KJ806953,1I_K.2,10661,20,10680,dengue virus type 1,,I,100,K,100,2,100,,
KJ806946,1I_H.1,10735,1,10735,dengue virus type 1,,I,100,H,100,1,100,,
KJ806945,1I_K.3,10735,1,10735,dengue virus type 1,,I,100,K,100,3,100,,
KJ806944,1I_K,10735,1,10735,dengue virus type 1,,I,100,K,60,Related to but not part of 3,,,
KJ806943,1I_K,10735,1,10735,dengue virus type 1,,I,100,K,58,Related to but not part of 3,,,
KF971871,1I_K.3,10583,30,10612,dengue virus type 1,,I,100,K,100,3,100,,
KF971869,1I_K.3,10583,30,10612,dengue virus type 1,,I,100,K,100,3,100,,
JQ692085,1III_A,10669,1,10690,dengue virus type 1,,III,100,A,99,,,,
KJ189364,1V_E,10444,16,10459,dengue virus type 1,,V,100,E,100,,,,
KJ189363,1V_E,10648,2,10652,dengue virus type 1,,V,100,E,100,,,,
KJ189362,1V_E,10456,5,10460,dengue virus type 1,,V,100,E,100,,,,
KJ189360,1V_E,10265,16,10280,dengue virus type 1,,V,100,E,100,,,,
KJ189359,1V_E,10444,16,10459,dengue virus type 1,,V,100,E,100,,,,
KJ189352,1V_E,10448,16,10463,dengue virus type 1,,V,100,E,100,,,,
KJ189351,1V_E,10448,16,10463,dengue virus type 1,,V,100,E,100,,,,
KJ189348,1V_B,10445,16,10460,dengue virus type 1,,V,100,B,100,,,,
KJ189346,1V_C,10442,16,10457,dengue virus type 1,,V,100,C,100,,,,
KJ189343,1V_C,10444,16,10459,dengue virus type 1,,V,100,C,100,,,,
KJ189341,1V_C,10445,15,10459,dengue virus type 1,,V,100,C,100,,,,
KJ189337,1V_C,10446,16,10460,dengue virus type 1,,V,100,C,100,,,,
KJ189331,1V_C,10448,16,10463,dengue virus type 1,,V,100,C,100,,,,
KJ189329,1V_C,10449,16,10464,dengue virus type 1,,V,100,C,100,,,,
KJ189327,1V_C,10445,16,10460,dengue virus type 1,,V,100,C,100,,,,
KJ189321,1V_C,10444,16,10459,dengue virus type 1,,V,100,C,100,,,,
KJ189320,1V_C,10445,16,10460,dengue virus type 1,,V,100,C,100,,,,
KC692515,1V_E,10735,1,10735,dengue virus type 1,,V,100,E,100,,,,
KJ189318,1V_C,10444,16,10459,dengue virus type 1,,V,100,C,100,,,,
KJ189317,1V_C,10448,16,10463,dengue virus type 1,,V,100,C,100,,,,
KJ189307,1V_C,10445,16,10460,dengue virus type 1,,V,100,C,100,,,,
KJ189306,1V_C,10445,16,10460,dengue virus type 1,,V,100,C,100,,,,
KJ189304,1V_G,10447,14,10460,dengue virus type 1,,V,100,G,100,,,,
KJ189302,1V,10445,16,10460,dengue virus type 1,,V,100,Could not assign,,,,,
JN054256,1I_H.1,10735,1,10735,dengue virus type 1,,I,100,H,100,1,100,,
JN054255,1I_H.1,10735,1,10735,dengue virus type 1,,I,100,H,100,1,100,,
KF955443,1V_C,10686,21,10706,dengue virus type 1,,V,100,C,100,,,,
KF955427,1V_C,10695,27,10721,dengue virus type 1,,V,100,C,100,,,,
KC692516,1V_E,10735,1,10735,dengue virus type 1,,V,100,E,100,,,,
KF921942,1I_E,10374,86,10459,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
KF921911,1V,10609,69,10681,dengue virus type 1,,V,100,Could not assign,,,,,
KC692517,1V_F,10735,1,10735,dengue virus type 1,,V,100,F,100,,,,
JQ048541,1I_K.1,10718,1,10711,dengue virus type 1,,I,100,K,100,1,94,,
HQ624983,1I_G,10562,29,10591,dengue virus type 1,,I,100,G,100,,,,
JQ045668,1I_E,10687,23,10709,dengue virus type 1,,I,100,E,95,Related to but not part of 1,,,
JQ045667,1I_E,10671,23,10693,dengue virus type 1,,I,100,E,93,Related to but not part of 1,,,
JQ045661,1I_E,10672,23,10695,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
HQ624984,1I_E,10539,35,10575,dengue virus type 1,,I,100,E,100,Could not assign,,,
JQ045654,1I_E,10669,23,10691,dengue virus type 1,,I,100,E,100,Could not assign,,,
JQ045653,1I_E,10672,23,10695,dengue virus type 1,,I,100,E,100,Could not assign,,,
JQ045651,1I_E,10672,23,10695,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
JQ045652,1I_E,10669,23,10691,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
JQ045650,1I_E,10669,23,10691,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
JQ045649,1I_E,10670,23,10692,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
JQ045648,1I_E,10672,23,10695,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
JQ045647,1I_E,10672,23,10695,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
JQ045646,1I_E,10672,23,10695,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
JQ045645,1I_E,10652,23,10707,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
JQ045644,1I_E,10672,23,10695,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
JQ045643,1I_E,10669,23,10691,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
JQ045642,1I_E,10672,23,10695,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
JQ045641,1I_E,10670,23,10692,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
JQ045640,1I_E,10672,23,10695,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
JQ045639,1I_E,10671,23,10693,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
JQ045633,1I_E,10671,23,10693,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
JQ045630,1I_E,10670,23,10692,dengue virus type 1,,I,100,E,100,Could not assign,,,
JQ045628,1I_E,10689,23,10711,dengue virus type 1,,I,100,E,100,Could not assign,,,
JN903580,1III_A,10694,12,10726,dengue virus type 1,,III,100,A,99,,,,
JN819414,1V_F,10466,37,10504,dengue virus type 1,,V,100,F,100,,,,
JN093516,1I_G,10393,68,10460,dengue virus type 1,,I,100,G,100,,,,
HM181969,1I_E,10454,55,10508,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
HM181967,1I_E,10472,37,10508,dengue virus type 1,,I,100,E,100,Could not assign,,,
HM181963,1I_G,10449,56,10504,dengue virus type 1,,I,100,G,100,,,,
HM181962,1I_E,10467,35,10504,dengue virus type 1,,I,100,E,100,Could not assign,,,
HM181959,1I_E,10676,37,10712,dengue virus type 1,,I,100,E,100,Could not assign,,,
HM181957,1I_E,10675,23,10697,dengue virus type 1,,I,100,E,100,Could not assign,,,
HM181955,1I_E,10468,37,10504,dengue virus type 1,,I,100,E,100,Could not assign,,,
HM181954,1I_E,10679,32,10712,dengue virus type 1,,I,100,E,100,Could not assign,,,
HM181950,1I_E,10460,44,10504,dengue virus type 1,,I,100,E,100,Could not assign,,,
HM181949,1I_E,10683,24,10706,dengue virus type 1,,I,100,E,100,Could not assign,,,
HM181947,1I_E,10473,36,10508,dengue virus type 1,,I,100,E,100,Could not assign,,,
HM181945,1I_G,10685,23,10710,dengue virus type 1,,I,100,G,100,,,,
HM181944,1I_G,10482,23,10504,dengue virus type 1,,I,100,G,100,,,,
HM181943,1I_E,10672,34,10706,dengue virus type 1,,I,100,E,100,Could not assign,,,
HM181942,1I_G,10482,23,10508,dengue virus type 1,,I,100,G,100,,,,
HM181941,1I_E,10663,50,10712,dengue virus type 1,,I,100,E,100,Could not assign,,,
HM181939,1I_G,10690,23,10712,dengue virus type 1,,I,100,G,100,,,,
HM181938,1I_E,10486,23,10508,dengue virus type 1,,I,100,E,100,Could not assign,,,
HM181937,1I_E,10468,37,10504,dengue virus type 1,,I,100,E,100,Could not assign,,,
HM181936,1I_E,10468,37,10504,dengue virus type 1,,I,100,E,100,Could not assign,,,
FJ882557,1I_K,10688,25,10712,dengue virus type 1,,I,100,K,100,Could not assign,,,
FJ461328,1I_H.2,10690,23,10712,dengue virus type 1,,I,100,H,100,2,100,,
FJ687431,1I_H,10676,37,10712,dengue virus type 1,,I,100,H,100,Related to but not part of 2,,,
FJ687429,1I_H,10676,37,10712,dengue virus type 1,,I,100,H,100,Could not assign,,,
FJ687428,1I_H,10677,30,10712,dengue virus type 1,,I,100,H,100,Related to but not part of 2,,,
FJ687427,1I_H,10672,38,10712,dengue virus type 1,,I,100,H,100,Related to but not part of 2,,,
FJ687426,1I_H,10676,37,10712,dengue virus type 1,,I,100,H,100,Related to but not part of 2,,,
FJ639695,1I_E,10636,23,10658,dengue virus type 1,,I,100,E,100,Could not assign,,,
FJ639694,1I_E,10684,23,10706,dengue virus type 1,,I,100,E,100,Could not assign,,,
FJ639693,1I_G,10684,23,10706,dengue virus type 1,,I,100,G,100,,,,
FJ639690,1I_E,10690,23,10712,dengue virus type 1,,I,100,E,100,Could not assign,,,
FJ639688,1I_E,10690,23,10712,dengue virus type 1,,I,100,E,99,Could not assign,,,
FJ639685,1I_E,10690,23,10712,dengue virus type 1,,I,100,E,100,Could not assign,,,
FJ639684,1I_G,10676,37,10712,dengue virus type 1,,I,100,G,100,,,,
FJ639683,1I_E,10674,38,10712,dengue virus type 1,,I,100,E,100,Could not assign,,,
FJ639680,1I_K,10690,23,10712,dengue virus type 1,,I,100,K,100,Could not assign,,,
FJ639678,1I_D,10690,23,10712,dengue virus type 1,,I,100,D,100,,,,
FJ639674,1I_G,10673,40,10712,dengue virus type 1,,I,100,G,100,,,,
FJ639672,1I_K,10682,30,10712,dengue virus type 1,,I,100,K,100,Could not assign,,,
FJ639670,1I_K,10693,23,10712,dengue virus type 1,,I,100,K,100,Could not assign,,,
FJ639669,1I_K,10690,23,10712,dengue virus type 1,,I,100,K,100,Could not assign,,,
FJ461341,1I_E,10690,23,10712,dengue virus type 1,,I,100,E,100,Could not assign,,,
FJ461339,1I_G,10690,23,10712,dengue virus type 1,,I,100,G,100,,,,
FJ461335,1I_C,10690,23,10712,dengue virus type 1,,I,100,C,100,,,,
FJ461333,1I_E,10690,23,10712,dengue virus type 1,,I,100,E,100,Could not assign,,,
FJ461332,1I_K,10690,23,10712,dengue virus type 1,,I,100,K,100,Could not assign,,,
FJ461331,1I_K,10690,23,10712,dengue virus type 1,,I,100,K,100,Could not assign,,,
FJ461330,1I_E,10635,23,10657,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
FJ461327,1I_E,10676,37,10712,dengue virus type 1,,I,100,E,100,Could not assign,,,
FJ461323,1I_K,10676,37,10712,dengue virus type 1,,I,100,K,100,Could not assign,,,
FJ461319,1I_E,10690,23,10712,dengue virus type 1,,I,100,E,100,Could not assign,,,
FJ461318,1I_D,10690,23,10712,dengue virus type 1,,I,100,D,100,,,,
FJ461317,1I_K,10690,23,10712,dengue virus type 1,,I,100,K,100,Could not assign,,,
FJ461315,1I_E,10690,23,10712,dengue virus type 1,,I,100,E,100,Related to but not part of 1,,,
FJ461310,1I_E,10676,37,10712,dengue virus type 1,,I,100,E,100,Could not assign,,,
FJ461308,1I_G,10674,38,10712,dengue virus type 1,,I,100,G,100,,,,
FJ461307,1I_H.2,10689,24,10712,dengue virus type 1,,I,100,H,100,2,100,,
FJ432749,1I_C,10690,23,10712,dengue virus type 1,,I,100,C,100,,,,
FJ432748,1I_E,10675,32,10706,dengue virus type 1,,I,100,E,100,Could not assign,,,
FJ432744,1I_G,10690,23,10712,dengue virus type 1,,I,100,G,100,,,,
FJ432740,1I_E,10682,31,10712,dengue virus type 1,,I,100,E,100,Could not assign,,,
FJ432737,1I_E,10690,23,10712,dengue virus type 1,,I,100,E,100,Could not assign,,,
FJ432736,1I_K,10690,23,10712,dengue virus type 1,,I,100,K,100,Could not assign,,,
FJ432735,1I_G,10690,23,10712,dengue virus type 1,,I,100,G,100,,,,
FJ432734,1I_K,10689,23,10712,dengue virus type 1,,I,100,K,100,Could not assign,,,
FJ432730,1I_G,10688,23,10710,dengue virus type 1,,I,100,G,100,,,,
FJ432729,1I_C,10689,23,10712,dengue virus type 1,,I,100,C,100,,,,
FJ432727,1I_E,10688,23,10710,dengue virus type 1,,I,100,E,100,Could not assign,,,
FJ432725,1I_E,10676,23,10697,dengue virus type 1,,I,100,E,100,Could not assign,,,
FJ639824,1V_F,10691,23,10712,dengue virus type 1,,V,100,F,100,,,,
FJ639820,1V_F,10650,23,10672,dengue virus type 1,,V,100,F,100,,,,
FJ639819,1V_E,10684,23,10706,dengue virus type 1,,V,100,E,100,,,,
FJ639815,1V_E,10673,23,10695,dengue virus type 1,,V,100,E,100,,,,
FJ639811,1V_E,10684,23,10706,dengue virus type 1,,V,100,E,100,,,,
